ticker,company_name,sector,year,has_1c,yoy_similarity
AAPL,Apple Inc.,Technology,2022,False,
AAPL,Apple Inc.,Technology,2023,True,0.8157
AAPL,Apple Inc.,Technology,2024,True,0.7983
AAPL,Apple Inc.,Technology,2025,True,0.579
AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2022,False,
AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2023,True,0.6533
AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2024,True,0.7911
AMD,ADVANCED MICRO DEVICES INC,Semiconductors,2025,True,0.7611
AMPL,"Amplitude, Inc.",Technology,2022,False,
AMPL,"Amplitude, Inc.",Technology,2023,True,0.8956
AMPL,"Amplitude, Inc.",Technology,2024,True,0.9124
AMPL,"Amplitude, Inc.",Technology,2025,True,0.8572
AMZN,AMAZON COM INC,Retail & E-Commerce,2022,False,
AMZN,AMAZON COM INC,Retail & E-Commerce,2023,True,0.8518
AMZN,AMAZON COM INC,Retail & E-Commerce,2024,True,0.965
AMZN,AMAZON COM INC,Retail & E-Commerce,2025,True,0.9452
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2022,False,
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2023,False,0.8584
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2024,True,0.8724
BOOT,"Boot Barn Holdings, Inc.",Retail & E-Commerce,2025,True,0.8164
CROX,"Crocs, Inc.",Consumer Goods,2022,False,
CROX,"Crocs, Inc.",Consumer Goods,2023,True,0.7875
CROX,"Crocs, Inc.",Consumer Goods,2024,True,0.8636
CROX,"Crocs, Inc.",Consumer Goods,2025,True,0.8131
CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2022,False,
CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2023,False,0.7952
CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2024,True,0.8645
CRUS,"CIRRUS LOGIC, INC.",Semiconductors,2025,True,0.85
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2022,False,
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2023,False,0.9116
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2024,True,0.8519
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2025,True,0.8473
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2022,False,
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2023,False,0.907
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2024,True,0.9118
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2025,True,0.9115
ELMD,"Electromed, Inc.",Healthcare,2022,False,
ELMD,"Electromed, Inc.",Healthcare,2023,False,0.8757
ELMD,"Electromed, Inc.",Healthcare,2024,True,0.1075
ELMD,"Electromed, Inc.",Healthcare,2025,True,0.9699
ETSY,ETSY INC,Retail & E-Commerce,2022,False,
ETSY,ETSY INC,Retail & E-Commerce,2023,True,0.6987
ETSY,ETSY INC,Retail & E-Commerce,2024,True,0.7224
ETSY,ETSY INC,Retail & E-Commerce,2025,True,0.7014
F,FORD MOTOR CO,Automotive,2022,False,
F,FORD MOTOR CO,Automotive,2023,True,0.6227
F,FORD MOTOR CO,Automotive,2024,True,0.7486
F,FORD MOTOR CO,Automotive,2025,True,0.7116
GOOGL,Alphabet Inc.,Technology,2022,False,
GOOGL,Alphabet Inc.,Technology,2023,True,0.7914
GOOGL,Alphabet Inc.,Technology,2024,True,0.8196
GOOGL,Alphabet Inc.,Technology,2025,True,0.7669
GTLB,Gitlab Inc.,Technology,2022,False,
GTLB,Gitlab Inc.,Technology,2023,False,0.7813
GTLB,Gitlab Inc.,Technology,2024,True,0.8087
GTLB,Gitlab Inc.,Technology,2025,True,0.8886
HLI,"HOULIHAN LOKEY, INC.",Finance,2022,False,
HLI,"HOULIHAN LOKEY, INC.",Finance,2023,False,0.8829
HLI,"HOULIHAN LOKEY, INC.",Finance,2024,True,0.8862
HLI,"HOULIHAN LOKEY, INC.",Finance,2025,True,0.8888
INTC,INTEL CORP,Semiconductors,2022,False,
INTC,INTEL CORP,Semiconductors,2023,False,0.5139
INTC,INTEL CORP,Semiconductors,2024,False,0.7177
INTC,INTEL CORP,Semiconductors,2025,False,0.4763
JNJ,JOHNSON & JOHNSON,Healthcare,2022,False,
JNJ,JOHNSON & JOHNSON,Healthcare,2023,True,0.5986
JNJ,JOHNSON & JOHNSON,Healthcare,2024,True,0.8163
JNJ,JOHNSON & JOHNSON,Healthcare,2025,True,0.8985
LC,LendingClub Corp,Finance,2022,False,
LC,LendingClub Corp,Finance,2023,True,0.8165
LC,LendingClub Corp,Finance,2024,True,0.8774
LC,LendingClub Corp,Finance,2025,True,0.8617
LLY,ELI LILLY & Co,Healthcare,2022,False,
LLY,ELI LILLY & Co,Healthcare,2023,True,0.4851
LLY,ELI LILLY & Co,Healthcare,2024,True,0.7211
LLY,ELI LILLY & Co,Healthcare,2025,True,0.6775
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2022,False,
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2023,False,0.8076
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2024,True,0.8011
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2025,True,0.8786
MODD,"Modular Medical, Inc.",Healthcare,2022,False,
MODD,"Modular Medical, Inc.",Healthcare,2023,False,0.7143
MODD,"Modular Medical, Inc.",Healthcare,2024,True,0.8743
MODD,"Modular Medical, Inc.",Healthcare,2025,True,0.7869
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2022,False,
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2023,True,0.7274
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2024,True,0.7884
MOH,"MOLINA HEALTHCARE, INC.",Healthcare,2025,True,0.7357
MSFT,MICROSOFT CORP,Technology,2022,False,
MSFT,MICROSOFT CORP,Technology,2023,False,0.7546
MSFT,MICROSOFT CORP,Technology,2024,True,0.5639
MSFT,MICROSOFT CORP,Technology,2025,True,0.7454
MXL,"MAXLINEAR, INC",Semiconductors,2022,False,
MXL,"MAXLINEAR, INC",Semiconductors,2023,True,0.6075
MXL,"MAXLINEAR, INC",Semiconductors,2024,True,0.8715
